Time_Gyr,SnapshotNumber,VirialRadius_ckpc,VirialMass_Msun
,0,,
,1,,
,2,,
,3,,
,4,,
,5,,
,6,,
,7,,
,8,,
,9,,
,10,,
,11,,
,12,,
,13,,
,14,,
,15,,
,16,,
,17,,
,18,,
,19,,
,20,,
,21,,
,22,,
,23,,
,24,,
,25,,
,26,,
,27,,
,28,,
,29,,
,30,,
,31,,
0.4780873012769339,32,41.87592319054653,1687600000.0
0.51144273747843,33,43.028064992614475,1831590000.0
0.5471208106629557,34,46.336779911373704,2288070000.0
0.5891997750159086,35,54.062038404726735,3635560000.0
0.6303016906900535,36,56.92762186115214,4241230000.0
0.6741780982620621,37,59.054652880354496,4741130000.0
0.7211528104403899,38,62.96898079763663,5751520000.0
0.7766504355647659,39,75.76070901033972,10022200000.0
0.8307696690240871,40,90.76809453471196,17247600000.0
0.888678746448821,41,97.22304283604134,21205700000.0
0.9569792349999162,42,100.08862629246677,23161700000.0
1.0235859033603345,43,106.08567208271785,27602300000.0
1.094853121042702,44,109.14327917282127,30091400000.0
1.1789142813106497,45,112.57016248153617,33064200000.0
1.260877564365467,46,116.39586410635154,36609500000.0
1.3482981877900693,47,115.74593796159526,36051700000.0
1.4517049514969056,48,119.85228951255539,40117500000.0
1.5524152659289694,49,123.63367799113736,44131000000.0
1.6600143869141086,50,125.79025110782864,46602700000.0
1.7870610578518569,51,125.59822747415066,46534900000.0
1.910374663189027,52,127.50369276218609,48852600000.0
2.0566279658005517,53,130.76809453471196,52918400000.0
2.1979545826256524,54,136.410635155096,60333900000.0
2.3495344837482337,55,144.06203840472674,71416000000.0
2.4942982026932317,56,149.11373707533235,79599900000.0
2.648679024181495,57,156.44017725258493,92452700000.0
2.7919964070004784,58,160.28064992614475,99994200000.0
2.9444522970841254,59,163.5450516986706,106904000000.0
3.103679461620113,60,167.32644017725258,115290000000.0
3.2503461041698882,61,168.7887740029542,119122000000.0
3.4035482502094134,62,170.26587887740027,123164000000.0
3.5395210614408477,63,172.54062038404726,129060000000.0
3.706074245251531,64,176.35155096011815,138983000000.0
3.852039404050016,65,182.7474150664697,155897000000.0
4.005330648859183,66,196.91285081240767,196672000000.0
4.1380238212264,67,218.19793205317575,269677000000.0
4.302863700119068,68,226.45494830132938,304388000000.0
4.444078540437954,69,227.8434268833087,312723000000.0
4.618010469172704,70,229.6898079763663,323981000000.0
4.767519355776625,71,230.96011816838995,332653000000.0
4.921821313360232,72,231.5805022156573,338800000000.0
5.048501545881991,73,232.54062038404726,346066000000.0
5.210902319443069,74,234.68242245199406,359883000000.0
5.378187481427072,75,237.75480059084194,378780000000.0
5.516742183317032,76,255.90841949778434,477206000000.0
5.657151746908872,77,263.9290989660266,529098000000.0
5.835657267816712,78,270.9453471196455,580549000000.0
5.984925889355137,79,271.9645494830133,594104000000.0
6.1314743443417274,80,272.821270310192,607190000000.0
6.288280009550495,81,270.576070901034,599914000000.0
6.441930961431011,82,272.6587887740029,622168000000.0
6.60150134785066,83,273.29394387001474,635275000000.0
6.767286363666197,84,272.7474150664697,640647000000.0
6.891938257577819,85,271.2850812407681,637527000000.0
7.058261067482293,86,268.55243722304283,628170000000.0
7.230838364822614,87,265.70162481536187,618262000000.0
7.363097920077097,88,263.2200886262924,608637000000.0
7.541245459552444,89,260.8714918759232,602665000000.0
7.6760992541526205,90,258.9807976366322,597565000000.0
7.859537305692069,91,256.91285081240767,594149000000.0
7.996553509894531,92,255.40620384047264,592112000000.0
8.184930564043999,93,253.55982274741504,590769000000.0
8.33063774295648,94,252.05317577548,589083000000.0
8.473061122257839,95,250.73855243722303,588946000000.0
8.619165545014738,96,250.19202363367796,594433000000.0
8.822454757224136,97,248.72968980797634,596890000000.0
8.977680498782219,98,247.51846381093054,598055000000.0
9.128933347146274,99,246.14475627769568,598344000000.0
9.28399281865738,100,245.096011816839,601149000000.0
9.442976215473088,101,244.28360413589363,606043000000.0
9.597321544370372,102,243.63367799113735,612259000000.0
9.755404100736131,103,243.1905465288035,620446000000.0
9.91733399954639,104,242.59970457902511,627886000000.0
10.083224987834548,105,241.81683899556867,634086000000.0
10.253194588767297,106,240.96011816838993,640066000000.0
10.417575859721632,107,240.78286558345638,651822000000.0
10.585809115748921,108,242.1861152141802,677166000000.0
10.758003408639935,109,241.43279172821266,685201000000.0
10.87158675338913,110,240.67946824224518,688696000000.0
11.050552250154956,111,239.3500738552437,692263000000.0
11.222886201331546,112,237.81388478581977,694378000000.0
11.399102192939777,113,236.11521418020678,695231000000.0
11.579305643595353,114,234.50516986706054,696965000000.0
11.69400588091851,115,233.39734121122598,697903000000.0
11.880922573432047,116,231.81683899556867,700272000000.0
12.060042487650401,117,230.3988183161004,704369000000.0
12.181593952274879,118,229.423929098966,706933000000.0
12.367202557614286,119,227.87296898079762,710057000000.0
12.55684042003699,120,226.23338257016246,712535000000.0
12.672601171018869,121,224.94830132939435,712542000000.0
12.868907973792403,122,223.04283604135892,712795000000.0
13.056016187829684,123,221.00443131462333,711809000000.0
13.178327328662581,124,219.70457902511077,711726000000.0
13.371812419226801,125,217.60709010339733,710331000000.0
13.498307651451077,126,216.05612998522895,707910000000.0
13.698436884332015,127,213.82570162481534,705434000000.0
